id,code,name,,seq,9326A53C-059F-488D-972A-E3C990820EFC
D44ABC12-3FCE-46C9-9470-D28F301958C5,PRIVUT,Private,2,2,Private
DA6C21E6-53EC-49C0-AF8E-E8B68FC70EA2,GREC,City Highlights,1,1,City Highlights
E7DCA21D-788E-4277-B37B-89A76941F9FF,SPBA1,Art & Culture & History,3,1,Art & Culture & History
E7DCA21D-788E-4277-B37B-89A76941F9FF,SPBA1,City Highlights,3,2,City Highlights
E7DCA21D-788E-4277-B37B-89A76941F9FF,SPBA1,Food & Drink,3,3,Food & Drink
F17F8323-7121-40B1-BB4D-9C83E7F4B3EB,ROBUF,City Highlights,2,1,City Highlights
F17F8323-7121-40B1-BB4D-9C83E7F4B3EB,ROBUF,Food & Drink,2,2,Food & Drink
F4824538-BC05-470E-BD72-B7F1C8365BCF,PRIPEUG,Art & Culture & History,2,1,Art & Culture & History
F4824538-BC05-470E-BD72-B7F1C8365BCF,PRIPEUG,Private,2,2,Private
F71CB200-DCEB-4F2E-A579-28EAD561AF12,AUNAT,Active,2,1,Active
F71CB200-DCEB-4F2E-A579-28EAD561AF12,AUNAT,Off The Beaten Path,2,2,Off The Beaten Path
F7F4EA59-BFC7-488F-9F5B-8D05114BAF2C,UASEA5,Food & Drink,1,1,Food & Drink
F94D19B7-25FC-4951-8808-4851F49F5CD9,PRIVUV,Art & Culture & History,2,1,Art & Culture & History
F94D19B7-25FC-4951-8808-4851F49F5CD9,PRIVUV,Private,2,2,Private
FAE03E36-C5FF-4E4C-AFEC-3ACC2A46195B,NPUC,Art & Culture & History,1,1,Art & Culture & History
FCD6FA71-437E-48A2-9091-4BC05AFF0E78,PRIUSSEA4,Art & Culture & History,3,1,Art & Culture & History
FCD6FA71-437E-48A2-9091-4BC05AFF0E78,PRIUSSEA4,City Highlights,3,2,City Highlights
FCD6FA71-437E-48A2-9091-4BC05AFF0E78,PRIUSSEA4,Private,3,3,Private
FED1A4DF-9D0B-4663-B8A1-4FD6C90B0F63,VUA,Art & Culture & History,1,1,Art & Culture & History
FFAB8B2B-382B-4EFD-B851-EDC58665E5CD,USNOD,Art & Culture & History,1,1,Art & Culture & History
